date,symbol,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover_rate
2026-02-02,000001,10.82,10.86,11.03,10.8,1223173,1337643444.96,2.12,0.28,0.03,0.63
2026-02-03,000001,10.89,10.84,10.9,10.77,806628,872562155.41,1.2,-0.18,-0.02,0.42
2026-02-04,000001,10.85,10.97,10.98,10.84,695415,760107689.09,1.29,1.2,0.13,0.36
2026-02-05,000001,10.98,11.09,11.11,10.96,1177591,1301134141.58,1.37,1.09,0.12,0.61
2026-02-06,000001,11.08,11.05,11.14,10.99,727710,803862240.92,1.35,-0.36,-0.04,0.38
2026-02-09,000001,11.05,11.07,11.11,11.01,619717,685218214.66,0.9,0.18,0.02,0.32
2026-02-10,000001,11.07,11.06,11.1,11.02,600430,664140162.34,0.72,-0.09,-0.01,0.31
2026-02-11,000001,11.06,11.07,11.09,11.02,431041,476801864.09,0.63,0.09,0.01,0.22
2026-02-12,000001,11.07,10.96,11.08,10.93,681340,748338546.8,1.36,-0.99,-0.11,0.35
2026-02-13,000001,10.96,10.91,10.99,10.9,555047,607501376.05,0.82,-0.46,-0.05,0.29
